hotel_name,hotel_area,poi_name,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
Ace Hotel New York,NoMad,The Metropolitan Museum of Art,0.75,28 St,86 St,0.54,8.22,9.39,18.16,59.52
Ace Hotel New York,NoMad,World Trade Center,0.7,28 St,WTC Cortlandt,0.54,1.78,8.47,10.79,73.46
Ace Hotel New York,NoMad,Brooklyn Bridge,0.65,28 St,Fulton St,0.54,11.23,8.57,20.34,55.93
Ace Hotel New York,NoMad,Rockefeller Center,0.6,28 St,47-50 Sts-Rockefeller Ctr,0.54,2.8,3.18,6.52,83.0
Ace Hotel New York,NoMad,Bryant Park,0.55,28 St,5 Av,0.54,1.37,3.0,4.92,86.89
Ace Hotel New York,NoMad,Penn Station,0.5,28 St,34 St-Penn Station,0.54,2.39,3.0,5.94,84.4
Ace Hotel New York,NoMad,MoMA,0.45,28 St,5 Av/53 St,0.54,3.08,3.97,7.6,80.49
Ace Hotel New York,NoMad,Chelsea Market,0.4,28 St,14 St,0.54,5.16,3.0,8.7,77.99
Ace Hotel New York,NoMad,Washington Square Park,0.35,28 St,W 4 St-Wash Sq,0.54,3.94,3.54,8.02,79.52
Ace Hotel New York,NoMad,SoHo,0.3,28 St,Canal St,0.54,3.52,5.84,9.91,75.35
Ace Hotel New York,NoMad,Williamsburg,0.25,28 St,Marcy Av,0.54,0.8,9.77,11.11,72.8
Lotte New York Palace,Midtown East,Statue of Liberty,1.0,5 Av/53 St,South Ferry,2.91,37.22,14.45,54.58,21.02
Lotte New York Palace,Midtown East,Times Square,0.95,5 Av/53 St,Times Sq-42 St,2.91,0.57,3.0,6.48,83.09
Lotte New York Palace,Midtown East,Empire State Building,0.9,5 Av/53 St,34 St-Herald Sq,2.91,2.82,3.15,8.88,77.6
Lotte New York Palace,Midtown East,Central Park,0.85,5 Av/53 St,81 St-Museum of Natural History,2.91,5.95,4.76,13.62,67.77
Lotte New York Palace,Midtown East,Grand Central Terminal,0.8,5 Av/53 St,Grand Central-42 St,2.91,1.31,3.0,7.22,81.36
Lotte New York Palace,Midtown East,The Metropolitan Museum of Art,0.75,5 Av/53 St,86 St,2.91,8.22,5.42,16.56,62.31
Lotte New York Palace,Midtown East,World Trade Center,0.7,5 Av/53 St,WTC Cortlandt,2.91,1.78,12.42,17.12,61.32
Lotte New York Palace,Midtown East,Brooklyn Bridge,0.65,5 Av/53 St,Fulton St,2.91,11.23,12.46,26.6,46.77
